Age,Country,EdLevel,YearsCodePro,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeWantToWorkWith
25-34 years old,Turkey,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",8,Python;Swift,Python;Swift,Firebase Realtime Database,Firebase Realtime Database,Firebase;Heroku;Netlify,Firebase;Heroku,FastAPI
45-54 years old,Denmark,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",29,C#;Dart;HTML/CSS;JavaScript;TypeScript,C#;Dart;HTML/CSS;JavaScript;TypeScript,Microsoft SQL Server;MongoDB;PostgreSQL;Redis,Microsoft SQL Server;MongoDB;PostgreSQL;Redis,Cloudflare;Hetzner;Vercel,Cloudflare;Hetzner,ASP.NET CORE;Htmx;NestJS;Node.js;React;Svelte
25-34 years old,Slovenia,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",3,HTML/CSS;JavaScript;SQL;TypeScript,HTML/CSS;JavaScript;TypeScript,MongoDB;PostgreSQL;SQLite,PostgreSQL;SQLite,Amazon Web Services (AWS);Google Cloud;Heroku;Netlify,Netlify,Gatsby;Node.js;React;Strapi
35-44 years old,Turkey,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",15,C#;C++;HTML/CSS;Java;JavaScript;MATLAB;Objective-C;PHP;PowerShell;Python;Rust;SQL;Swift;TypeScript;Visual Basic (.Net),C#;HTML/CSS;JavaScript;Rust;SQL;Swift;TypeScript,BigQuery;Cassandra;Cosmos DB;Dynamodb;Elasticsearch;Firebase Realtime Database;IBM DB2;InfluxDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;Solr;SQLite;Supabase,InfluxDB;Microsoft Access;Microsoft SQL Server;MongoDB;Supabase,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;IBM Cloud Or Watson;Managed Hosting;Microsoft Azure;Netlify;Supabase;Vercel,Amazon Web Services (AWS);Cloudflare;Google Cloud;Microsoft Azure;Netlify;Supabase;Vercel,ASP.NET;ASP.NET CORE;Node.js;React
25-34 years old,France,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",7,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Couch DB,Couch DB;Elasticsearch,Microsoft Azure,Microsoft Azure,Angular;Node.js
45-54 years old,Germany,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",12,Bash/Shell (all shells);Java;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);Java;Python,Microsoft SQL Server;SQLite,PostgreSQL;SQLite,Amazon Web Services (AWS);VMware,Amazon Web Services (AWS),Flask;Next.js;Spring Boot
25-34 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,2,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PowerShell;Python;Ruby;SQL;Swift;TypeScript,H2;Oracle;PostgreSQL,Cosmos DB;Databricks SQL;Firebase Realtime Database;H2;MongoDB;Oracle;PostgreSQL;Redis,Microsoft Azure;OpenShift;Vercel,Amazon Web Services (AWS);Microsoft Azure;OpenShift;Vercel,Angular;Django;Next.js;Node.js;React;Ruby on Rails;Spring Boot
35-44 years old,Mexico,Some college/university study without earning a degree,17,C;Go;Groovy;Java;Lua;PHP;Python;Ruby;SQL;TypeScript,Go;Groovy;R;Ruby;Scala;SQL,Cassandra;Couch DB;Dynamodb;Firebird;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Snowflake;SQLite,MongoDB;Oracle,Amazon Web Services (AWS);Cloudflare;Google Cloud;Microsoft Azure;OVH,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Django;Flask;Laravel;Node.js;Ruby on Rails;Vue.js;Yii 2
25-34 years old,Ireland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",3,Bash/Shell (all shells);JavaScript;Ruby;TypeScript,Bash/Shell (all shells);JavaScript;Ruby;TypeScript,PostgreSQL;Redis,PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Digital Ocean,Amazon Web Services (AWS);Cloudflare,React;Ruby on Rails
25-34 years old,Canada,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",4,C;C++;MATLAB;Python;R;Rust;SQL,C;C++;MATLAB;Python;R;Rust;SQL,MongoDB;MySQL;Redis;SQLite,MongoDB;MySQL;Redis;SQLite,Cloudflare;Digital Ocean;Firebase;Google Cloud;OpenStack;OVH;Vercel,Cloudflare;Digital Ocean;Firebase;Google Cloud;OpenStack;OVH;Vercel,AngularJS;Express;Flask;Gatsby;jQuery;Next.js;Node.js;React;Vue.js
25-34 years old,Brazil,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",7,Go;JavaScript;Python;SQL;TypeScript,Go;JavaScript;Python;SQL;TypeScript,Cassandra;Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Cassandra;Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis;Supabase,Amazon Web Services (AWS);Fly.io;Google Cloud;Heroku;Managed Hosting;Microsoft Azure;Netlify,Amazon Web Services (AWS);Google Cloud;Managed Hosting;Microsoft Azure;Netlify;Supabase;Vercel,Deno;Express;Gatsby;NestJS;Next.js;Node.js;Nuxt.js;React
25-34 years old,Belgium,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",7,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;SQL;TypeScript,H2;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Google Cloud,React;Spring Boot;Svelte;Vue.js
35-44 years old,Thailand,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",20,Bash/Shell (all shells);C;C++;Python,Bash/Shell (all shells);C;C++;MATLAB;Python;Rust,MySQL;PostgreSQL;SQLite,InfluxDB;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Digital Ocean;Google Cloud,Digital Ocean;Microsoft Azure,Django;Flask;Vue.js;WordPress
45-54 years old,Israel,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25,C;C++;Go;HTML/CSS;Python;SQL;TypeScript,C;C#;C++;Go;Python;Rust;Scala;SQL,PostgreSQL,Clickhouse;DuckDB;PostgreSQL;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS);Microsoft Azure,FastAPI
18-24 years old,Pakistan,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",4,JavaScript;Python;TypeScript,JavaScript;Python;TypeScript,MongoDB;PostgreSQL,MongoDB;PostgreSQL,Cloudflare;Vercel,Cloudflare;Vercel,Express;Next.js;Node.js;React
35-44 years old,Bulgaria,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",19,C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL,C#;Go;HTML/CSS;JavaScript;Python;SQL,MariaDB;Microsoft SQL Server;MySQL,Elasticsearch;MariaDB;Microsoft SQL Server;MySQL,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS);Microsoft Azure,ASP.NET CORE;React
25-34 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,10,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;SQL;TypeScript,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,ASP.NET CORE;Node.js;Vue.js
45-54 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",24,C#;HTML/CSS;JavaScript;SQL;Visual Basic (.Net),C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server,Cosmos DB;Microsoft SQL Server,Microsoft Azure,Microsoft Azure,ASP.NET CORE;Blazor
25-34 years old,Turkey,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",5,HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,HTML/CSS;Java;JavaScript;SQL,Clickhouse;Elasticsearch;H2;MongoDB;PostgreSQL;Redis,Elasticsearch;H2;PostgreSQL;Redis,OpenShift,OpenShift,Next.js;Node.js;React;Spring Boot
35-44 years old,Norway,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",12,C#;TypeScript,C#;Go;Rust,MongoDB,Microsoft SQL Server;MongoDB;PostgreSQL,Vercel,Vercel,Htmx
25-34 years old,India,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",4,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PowerShell;Python;TypeScript,C;C++;Go;Python;Rust;Swift;TypeScript,Firebase Realtime Database;MariaDB;MongoDB;MySQL;PostgreSQL;Redis,Cassandra;Dynamodb;Firebase Realtime Database;MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS);Google Cloud;Render;Vercel,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Render;Vercel,Django;Express;FastAPI;Fastify;Next.js;Node.js;React;Svelte
35-44 years old,Ireland,Some college/university study without earning a degree,17,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript,PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Vercel,Amazon Web Services (AWS);Cloudflare,Node.js;React
25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",3,Bash/Shell (all shells);C#;C++;Groovy;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL,Bash/Shell (all shells);C++;Java;Python;SQL,Dynamodb;PostgreSQL;Redis,PostgreSQL;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS);Digital Ocean,Spring Boot;Svelte
25-34 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,5,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Lua;Python;Rust;SQL,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Lua;Python;Rust;SQL;TypeScript;Zig,MySQL;PostgreSQL,Cockroachdb;MySQL;PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS);Vercel,Next.js;React
25-34 years old,Germany,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",10,C#;JavaScript;Python,Python,Elasticsearch;MongoDB;MySQL,Elasticsearch;MongoDB,Hetzner,Hetzner,Angular;ASP.NET CORE;Blazor;React
25-34 years old,Spain,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",12,Crystal;JavaScript;Python,Crystal;JavaScript;Python,Dynamodb;PostgreSQL;SQLite,Dynamodb;PostgreSQL;SQLite,Amazon Web Services (AWS),Amazon Web Services (AWS),Django;Flask;React;Svelte;Vue.js
35-44 years old,United States of America,Some college/university study without earning a degree,8,JavaScript;SQL;VBA,C#;JavaScript;Python;SQL;VBA,Microsoft Access;Microsoft SQL Server;MySQL;Snowflake,Microsoft SQL Server;Snowflake,Microsoft Azure;VMware,Microsoft Azure;VMware,jQuery
25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",12,HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,HTML/CSS;JavaScript;SQL;TypeScript,MariaDB;Microsoft SQL Server;MySQL,MariaDB,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Google Cloud,Express;Node.js
35-44 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",5,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Perl;PowerShell;Python;Solidity;SQL;TypeScript;Visual Basic (.Net),Bash/Shell (all shells);C#;C++;Cobol;Go;HTML/CSS;Java;JavaScript;Python;Ruby;Rust;Solidity;SQL;Swift;TypeScript,MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis,Heroku;Microsoft Azure;Vercel,"Amazon Web Services (AWS);Digital Ocean;Heroku;Linode, now Akamai;Microsoft Azure;Netlify;Vercel",AngularJS;Django;Flask;jQuery;Laravel;Next.js;Node.js;React;Remix;Ruby on Rails;Vue.js
25-34 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,8,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;SQLite,Elasticsearch;Microsoft SQL Server;SQLite,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Hetzner;Microsoft Azure,Cloudflare;Digital Ocean;Hetzner;Microsoft Azure,ASP.NET CORE;React
25-34 years old,Romania,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",10,C#;HTML/CSS;JavaScript,C#;F#;HTML/CSS;Java;JavaScript;Kotlin;TypeScript,PostgreSQL,Cassandra;Cosmos DB;Elasticsearch;MySQL;PostgreSQL;RavenDB;SQLite,Amazon Web Services (AWS),Amazon Web Services (AWS);Microsoft Azure,Angular;ASP.NET;ASP.NET CORE
25-34 years old,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",6,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#,Microsoft SQL Server;SQLite,Microsoft SQL Server,Firebase;Microsoft Azure,Microsoft Azure,ASP.NET CORE
35-44 years old,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",12,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Python;Rust;SQL,PostgreSQL;Redis,PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS);Hetzner,Svelte
25-34 years old,France,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",8,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis;SQLite,Elasticsearch;MariaDB;PostgreSQL;Redis;SQLite,OVH;PythonAnywhere;Render,OVH;PythonAnywhere;Render;Vercel,Django;Htmx;NestJS;Nuxt.js;React;Vue.js
35-44 years old,United States of America,Some college/university study without earning a degree,23,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,C#;JavaScript,Cosmos DB;Microsoft SQL Server;PostgreSQL,Cosmos DB;Microsoft SQL Server,Databricks;Microsoft Azure,Microsoft Azure,ASP.NET CORE;jQuery;Node.js;WordPress
25-34 years old,Nepal,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",6,Bash/Shell (all shells);JavaScript;TypeScript,Bash/Shell (all shells);Elixir;Go;Haskell;JavaScript;Kotlin;Rust;SQL;Swift;TypeScript,MongoDB;Redis,MongoDB;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Hetzner;Microsoft Azure;Netlify;Vercel,Amazon Web Services (AWS);Hetzner;Microsoft Azure;Netlify;Vercel,Astro;Express;Next.js;Node.js;Nuxt.js;Phoenix;React;Solid.js;Svelte;Vue.js
25-34 years old,Canada,Something else,2,Bash/Shell (all shells);C;HTML/CSS;Java;Python;SQL,Bash/Shell (all shells);C;HTML/CSS;Java;Python;SQL,Microsoft SQL Server;MySQL;Oracle;PostgreSQL,Microsoft SQL Server;MySQL;Oracle;PostgreSQL,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Django;Flask;jQuery;Spring Boot
25-34 years old,Czech Republic,Some college/university study without earning a degree,2,C;Delphi;Java;Lua;SQL,Delphi;Lua;SQL,MariaDB;Microsoft SQL Server,MariaDB;Microsoft SQL Server,VMware,VMware,jQuery;WordPress
25-34 years old,Brazil,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",10,HTML/CSS;JavaScript;Python;SQL;TypeScript,C++;Go;Python;Rust;SQL;TypeScript,MongoDB;PostgreSQL;SQLite;Supabase,BigQuery;Databricks SQL;MongoDB;Neo4J;PostgreSQL;Redis;Snowflake;Supabase,Google Cloud;PythonAnywhere;Supabase;Vercel,Amazon Web Services (AWS);Databricks;Digital Ocean;Google Cloud;PythonAnywhere;Supabase;Vercel,Astro;Django;Express;FastAPI;Flask;Htmx;Next.js;Node.js;React;Remix;Svelte
35-44 years old,United States of America,Some college/university study without earning a degree,24,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL,Elasticsearch;MariaDB;MongoDB;MySQL;Oracle;PostgreSQL;Redis;Snowflake;Solr;SQLite,MariaDB;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud,Amazon Web Services (AWS);Digital Ocean,jQuery;Node.js;Vue.js
35-44 years old,Canada,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",7,C#;GDScript;HTML/CSS;JavaScript;SQL;TypeScript,C#;GDScript;Python;SQL,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,jQuery
